category_slug,category_name,parent_category_slug,product_slug,product_name,brand,short_description,pack_size,unit,sku,price_minor_units,compare_at_minor_units,vat_rate_bps,hazard_class,dilution_guidance,source,needs_po_review
foodservice,Foodservice and kitchen hygiene,,,,,"Detergents, degreasers and food-contact sanitisers for commercial kitchens — cleaned between services, by people who are already busy.",,,,0,0,1600,,,written,true
laundry,Laundry,,,,,"Commercial laundry detergents and fabric conditioners built to deliver results in a single wash, dosed rather than poured.",,,,0,0,1600,,,written,true
housekeeping,Housekeeping and janitorial,,,,,"General-purpose cleaners and disinfectants for floors, washrooms and public areas — the short list most sites actually run on.",,,,0,0,1600,,,written,true
healthcare,Healthcare and medical-equipment cleaning,,,,,"Cleaning and disinfection for clinical, isolation and veterinary settings, where contact time is part of the infection-prevention plan.",,,,0,0,1600,,,written,true
laboratory,Laboratory cleaning,,,,,"Precision cleaning for laboratory glassware, instruments and safety ware, where residue matters as much as soil.",,,,0,0,1600,,,written,true
industrial,Industrial and degreasing,,,,,"Degreasing, descaling and drain maintenance for factories and workshops — stronger chemistry, and the safety data to handle it.",,,,0,0,1600,,,written,true
agricultural,Agricultural,,,,,"Hygiene for farms, dairies and produce handling, where wash-down has to be fast and food-safe.",,,,0,0,1600,,,written,true
equipment,Equipment and consumables,,,,,"Brooms, brushes, mops, buckets and dispensers — the colour-coded kit that makes the chemicals work as intended.",,,,0,0,1600,,,written,true
disinfection,Disinfection and sanitisation,,,,,"QAC surface and food-contact sanitisers, chlorine-based disinfectants and bleaching solutions, salad and fruit wash, and alcohol hand sanitiser.",,,,0,0,1600,,,written,true
disinfection,Disinfection and sanitisation,,qac-surface-food-contact-sanitiser,QAC-based sanitiser for surface and food-contact areas,,Quaternary ammonium compound sanitiser for surfaces and food-contact areas,,,,0,0,1600,,,snippet,true
disinfection,Disinfection and sanitisation,,chlorine-salad-fruit-wash-powder,Powder chlorine-based salad and fruit cleaner,,Chlorine-based powder for washing salads and fruit,,,,0,0,1600,,,snippet,true
disinfection,Disinfection and sanitisation,,general-purpose-cleaner-disinfectant,General purpose cleaner disinfectant,,Combined cleaner and disinfectant for general surfaces,,,,0,0,1600,,,snippet,true
disinfection,Disinfection and sanitisation,,chlorine-disinfectant-bleach,Chlorine-based disinfectant and bleaching solution,,Chlorine-based disinfectant and bleach,,,,0,0,1600,,,snippet,true
disinfection,Disinfection and sanitisation,,alcohol-hand-sanitiser,Alcohol-based hand sanitiser (liquid / gel),,Alcohol-based hand sanitiser; liquid and gel forms mentioned,,,,0,0,1600,,,snippet,true
specialty,Specialty products,,,,,"Descalers, oven, grill and hood cleaners, crockery destainers and enzyme-based drain and septic treatments.",,,,0,0,1600,,,written,true
specialty,Specialty products,,descaler-kitchen-housekeeping,Descaler for kitchen and housekeeping equipment,,Descaler for kitchen and other housekeeping equipment,,,,0,0,1600,,,snippet,true
specialty,Specialty products,,oven-grill-hood-cleaner,Oven / grill / hood cleaner,,"Cleaner for ovens, grills and extraction hoods",5,L,,0,0,1600,,,snippet,true
specialty,Specialty products,,oven-grill-hood-cleaner,Oven / grill / hood cleaner,,"Cleaner for ovens, grills and extraction hoods",20,L,,0,0,1600,,,snippet,true
specialty,Specialty products,,crockery-cutlery-destainer,Destainer for crockery and cutlery,,Destaining powder for crockery and cutlery,15,kg,,0,0,1600,,,snippet,true
specialty,Specialty products,,enzyme-drain-septic-treatment,Enzyme-based biological drain cleaner and septic tank treatment,,Biological (enzyme) drain cleaner and septic tank treatment,,,,0,0,1600,,,snippet,true
personal-hygiene,Personal hygiene,,,,,"Hand hygiene for washrooms, kitchens and clinical settings — soaps, sanitisers and the dispensers that hold them.",,,,0,0,1600,,,written,true
